customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,cuenta_diaria,servicios_contratados
3161-ONRWK,No,Masculino,False,True,True,60,True,False,DSL,True,True,True,True,False,False,Un año,True,Transferencia bancaria (automático),65.85,3928.3,2.195,6
3162-KKZXO,No,Femenino,True,False,False,55,True,True,Fibra óptica,False,False,True,False,True,True,Un año,True,Cheque electrónico,100.15,5409.75,3.3383333333333334,6
3162-ZJZFU,No,Masculino,False,True,True,53,True,False,Fibra óptica,False,True,False,True,True,False,Mes a mes,True,Cheque electrónico,92.55,4779.45,3.085,5
3164-AALRN,Si,Masculino,False,False,False,5,True,False,DSL,False,False,True,False,True,True,Un año,True,Cheque por correo,70.0,347.4,2.3333333333333335,5
3164-YAXFY,No,Masculino,False,False,False,57,False,False,DSL,True,False,True,False,True,True,Mes a mes,True,Cheque electrónico,53.75,3196.0,1.7916666666666667,5
3165-HDOEW,Si,Masculino,False,True,True,1,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,45.85,45.85,1.5283333333333333,2
3166-PNEOF,No,Femenino,False,False,False,61,True,True,DSL,True,False,True,True,True,True,Dos años,False,Tarjeta de crédito (automático),86.45,5175.3,2.881666666666667,8
3167-SNQPL,No,Masculino,True,True,True,38,True,True,Fibra óptica,False,True,False,False,True,True,Mes a mes,False,Cheque electrónico,101.15,3741.85,3.371666666666667,6
3170-GWYKC,No,Femenino,False,False,False,60,True,False,Fibra óptica,True,False,True,True,True,True,Mes a mes,True,Transferencia bancaria (automático),104.95,6236.75,3.4983333333333335,7
3170-NMYVV,No,Femenino,False,True,True,50,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),20.15,930.9,0.6716666666666666,1
3173-NVMPX,No,Femenino,False,True,True,9,True,True,DSL,False,True,False,False,False,False,Mes a mes,True,Cheque por correo,55.3,501.2,1.8433333333333333,4
3173-WSSUE,No,Femenino,False,True,True,71,True,False,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito (automático),19.7,1415.85,0.6566666666666666,1
3174-AKMAS,No,Femenino,False,True,False,46,True,False,DSL,False,True,False,True,True,False,Dos años,True,Tarjeta de crédito (automático),64.2,3009.5,2.14,5
3174-RKMOW,No,Masculino,False,True,True,35,True,True,Fibra óptica,False,True,True,True,True,True,Mes a mes,True,Cheque electrónico,109.95,3782.4,3.665,8
3177-LASXD,Si,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,71.35,71.35,2.378333333333333,2
3178-CIFOT,No,Femenino,False,False,False,23,True,False,No,False,False,False,False,False,False,Un año,True,Tarjeta de crédito (automático),19.65,478.1,0.6549999999999999,1
3178-FESZO,Si,Femenino,False,False,False,1,True,True,Fibra óptica,False,True,False,False,True,True,Mes a mes,True,Tarjeta de crédito (automático),100.25,100.25,3.341666666666667,6
3179-GBRWV,No,Masculino,True,True,False,21,True,False,DSL,True,True,False,False,False,True,Mes a mes,True,Transferencia bancaria (automático),64.95,1339.8,2.165,5
3181-MIZBN,No,Masculino,False,True,True,16,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,19.75,313.4,0.6583333333333333,1
3181-VTHOE,No,Masculino,False,True,False,70,False,False,DSL,False,True,True,True,False,True,Un año,True,Transferencia bancaria (automático),51.05,3635.15,1.7016666666666667,5
3186-AJIEK,No,Masculino,False,False,False,66,True,False,Fibra óptica,True,False,True,True,True,True,Dos años,True,Transferencia bancaria (automático),105.65,6844.5,3.521666666666667,7
3186-BAXNB,Si,Femenino,False,False,False,1,True,False,Fibra óptica,False,True,False,True,True,False,Mes a mes,False,Cheque electrónico,91.7,91.7,3.0566666666666666,5
3190-FZATL,No,Masculino,False,False,True,14,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.95,268.4,0.6649999999999999,1
3190-ITQXP,No,Femenino,False,True,True,46,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),20.25,890.35,0.675,1
3190-XFANI,Si,Masculino,False,False,True,49,True,True,Fibra óptica,False,False,False,True,True,True,Un año,True,Transferencia bancaria (automático),100.6,5069.65,3.353333333333333,6
3191-CSNMG,No,Femenino,False,True,True,3,True,False,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque electrónico,80.7,239.45,2.69,3
3192-LNKRK,No,Masculino,False,True,True,34,True,False,Fibra óptica,False,False,True,False,True,False,Mes a mes,True,Cheque por correo,84.05,2909.95,2.8016666666666667,4
3192-NQECA,Si,Masculino,False,True,False,68,True,True,Fibra óptica,False,True,True,True,True,True,Dos años,True,Transferencia bancaria (automático),110.0,7611.85,3.6666666666666665,8
3194-ORPIK,Si,Femenino,False,True,True,50,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Transferencia bancaria (automático),84.4,4116.15,2.8133333333333335,4
3195-TQDZX,No,Masculino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,20.25,61.45,0.675,1
3196-NVXLZ,No,Femenino,False,False,False,25,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque por correo,84.6,2088.05,2.82,4
3197-ARFOY,No,Femenino,True,False,False,19,True,False,Fibra óptica,True,True,False,True,True,True,Mes a mes,True,Cheque por correo,105.0,2007.25,3.5,7
3197-NNYNB,No,Masculino,False,False,False,65,True,True,Fibra óptica,False,True,True,False,True,True,Dos años,False,Tarjeta de crédito (automático),105.1,6631.85,3.503333333333333,7
3198-VELRD,Si,Femenino,False,True,True,3,True,True,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Transferencia bancaria (automático),84.75,264.85,2.825,4
3199-NPKCN,No,Femenino,False,True,False,67,True,True,Fibra óptica,True,False,True,True,True,True,Un año,True,Cheque electrónico,111.25,7511.65,3.7083333333333335,8
3199-XGZCY,No,Femenino,False,False,False,8,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,75.25,576.7,2.5083333333333333,3
3200-MNQTF,No,Masculino,False,True,False,67,True,True,DSL,True,True,True,True,False,False,Dos años,False,Tarjeta de crédito (automático),70.9,4677.1,2.3633333333333337,7
3205-MXZRA,No,Masculino,False,False,False,26,True,False,DSL,False,False,False,True,True,False,Un año,False,Tarjeta de crédito (automático),59.45,1507.0,1.9816666666666667,4
3207-OYBWH,Si,Masculino,True,True,False,57,True,True,Fibra óptica,False,True,True,False,False,True,Mes a mes,True,Transferencia bancaria (automático),95.25,5427.05,3.175,6
3208-YPIOE,Si,Masculino,False,False,False,39,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,75.25,3017.65,2.5083333333333333,3
3209-ZPKFI,No,Masculino,False,True,True,47,True,True,DSL,False,True,False,False,False,False,Mes a mes,False,Cheque electrónico,54.25,2538.2,1.8083333333333333,4
3211-AAPKX,No,Masculino,False,False,False,20,True,True,Fibra óptica,False,False,False,True,True,True,Mes a mes,True,Cheque por correo,98.55,2031.95,3.2849999999999997,6
3211-ILJTT,Si,Masculino,False,True,False,17,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),70.4,1214.05,2.3466666666666667,2
3212-KXOCR,No,Masculino,False,False,False,52,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),21.0,1107.2,0.7,1
3213-VVOLG,No,Masculino,False,True,True,0,True,True,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,25.35,,0.8450000000000001,2
3214-IYUUQ,No,Femenino,False,True,False,61,True,False,Fibra óptica,True,True,False,True,False,True,Un año,False,Transferencia bancaria (automático),93.7,5860.7,3.1233333333333335,6
3217-FZDMN,Si,Femenino,True,False,False,8,True,False,Fibra óptica,False,False,True,False,True,True,Mes a mes,True,Tarjeta de crédito (automático),94.45,742.95,3.1483333333333334,5
3219-JQRSL,No,Femenino,True,True,False,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Tarjeta de crédito (automático),89.1,6352.4,2.9699999999999998,9
3221-CJMSG,No,Masculino,False,False,False,24,True,False,DSL,False,False,False,True,False,False,Mes a mes,True,Tarjeta de crédito (automático),51.1,1269.6,1.7033333333333334,3
3223-DWFIO,No,Masculino,True,False,False,4,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,69.35,261.65,2.3116666666666665,2
3223-WZWJM,Si,Masculino,False,False,False,26,True,True,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Cheque electrónico,83.95,2254.2,2.7983333333333333,4
3224-DFQNQ,No,Femenino,False,True,False,66,True,True,Fibra óptica,True,True,False,True,False,False,Un año,False,Cheque electrónico,89.0,5898.6,2.966666666666667,6
3227-WLKLI,No,Femenino,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Dos años,False,Transferencia bancaria (automático),91.55,5963.95,3.0516666666666667,9
3229-USWAR,No,Femenino,False,False,False,34,True,False,DSL,True,False,True,True,True,True,Un año,True,Transferencia bancaria (automático),79.95,2727.3,2.665,7
3230-IUALN,No,Femenino,False,True,True,45,True,False,DSL,True,False,True,True,True,True,Dos años,True,Cheque por correo,81.0,3533.6,2.7,7
3230-JCNZS,No,Femenino,False,True,True,71,True,True,Fibra óptica,True,True,True,False,True,False,Dos años,True,Tarjeta de crédito (automático),99.0,7061.65,3.3,7
3230-WYKIR,Si,Masculino,False,False,False,18,True,True,DSL,False,False,True,True,True,True,Un año,True,Tarjeta de crédito (automático),82.0,1425.45,2.7333333333333334,7
3234-VKACU,No,Masculino,False,False,False,2,True,False,DSL,False,False,False,True,True,True,Mes a mes,False,Cheque electrónico,70.3,132.4,2.3433333333333333,5
3235-ETOOB,Si,Masculino,False,True,False,8,True,False,Fibra óptica,True,False,False,False,False,False,Mes a mes,True,Cheque electrónico,74.5,609.9,2.4833333333333334,3
3237-AJGEH,Si,Femenino,False,True,True,3,False,False,DSL,False,False,False,True,False,False,Mes a mes,True,Cheque por correo,31.0,95.05,1.0333333333333334,2
3239-TPHPZ,No,Femenino,False,True,False,12,True,False,No,False,False,False,False,False,False,Dos años,True,Cheque electrónico,20.05,264.55,0.6683333333333333,1
3243-ZHOHY,No,Femenino,False,False,False,16,True,False,No,False,False,False,False,False,False,Un año,False,Cheque por correo,20.1,296.15,0.67,1
3244-CQPHU,No,Femenino,True,False,False,72,True,True,Fibra óptica,True,True,False,True,True,True,Dos años,True,Transferencia bancaria (automático),110.1,7746.7,3.67,8
3244-DCJWY,Si,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,70.25,70.25,2.341666666666667,2
3247-MHJKM,No,Masculino,False,False,False,1,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,20.2,20.2,0.6733333333333333,1
3247-ZVOUO,Si,Masculino,True,True,False,10,True,True,Fibra óptica,False,False,False,False,False,True,Mes a mes,False,Cheque electrónico,85.55,851.75,2.8516666666666666,4
3249-VHRIP,No,Femenino,False,False,False,62,False,False,DSL,False,True,True,False,False,True,Dos años,True,Tarjeta de crédito (automático),43.6,2748.7,1.4533333333333334,4
3249-ZPQRG,Si,Masculino,False,False,False,4,True,True,Fibra óptica,False,True,False,False,False,False,Mes a mes,False,Cheque electrónico,78.45,330.05,2.615,4
3251-YMVWZ,No,Masculino,False,False,False,53,True,True,No,False,False,False,False,False,False,Un año,False,Transferencia bancaria (automático),24.05,1301.9,0.8016666666666666,2
3253-HKOKL,No,Femenino,False,True,True,52,True,False,Fibra óptica,True,False,True,False,True,True,Un año,False,Cheque electrónico,100.3,5244.45,3.3433333333333333,6
3254-YRILK,Si,Masculino,True,False,False,19,True,True,Fibra óptica,False,True,False,False,True,False,Mes a mes,True,Cheque electrónico,88.2,1775.8,2.94,5
3255-GRXMG,No,Masculino,False,False,True,18,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Tarjeta de crédito (automático),45.65,747.2,1.5216666666666667,2
3256-EZDBI,No,Masculino,True,True,False,51,False,False,DSL,False,True,False,False,False,False,Mes a mes,True,Tarjeta de crédito (automático),29.45,1459.35,0.9816666666666667,2
3258-SANFR,No,Masculino,True,False,False,6,True,False,DSL,False,False,False,False,False,False,Mes a mes,False,Tarjeta de crédito (automático),44.7,276.5,1.49,2
3258-SYSWS,No,Masculino,True,False,False,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,False,Transferencia bancaria (automático),113.8,7845.8,3.7933333333333334,9
3258-ZKPAI,No,Masculino,False,True,True,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Transferencia bancaria (automático),116.6,8337.45,3.8866666666666663,9
3259-FDWOY,Si,Masculino,False,True,True,71,True,True,Fibra óptica,False,True,True,False,True,True,Dos años,True,Transferencia bancaria (automático),106.0,7723.7,3.533333333333333,7
3259-KNMRR,No,Masculino,True,False,False,57,True,True,DSL,False,True,True,False,True,True,Dos años,True,Transferencia bancaria (automático),79.75,4438.2,2.658333333333333,7
3259-QMXUN,No,Masculino,False,True,False,58,True,True,DSL,True,True,True,False,True,True,Dos años,True,Cheque electrónico,86.1,4890.5,2.8699999999999997,8
3261-CQXOL,No,Femenino,False,True,True,71,True,True,No,False,False,False,False,False,False,Dos años,False,Transferencia bancaria (automático),25.45,1813.35,0.8483333333333333,2
3262-EIDHV,No,Femenino,False,True,True,72,True,True,DSL,True,False,True,True,True,True,Dos años,False,Tarjeta de crédito (automático),84.7,5893.9,2.8233333333333333,8
3266-FTKHB,No,Masculino,False,False,False,17,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,19.15,343.45,0.6383333333333333,1
3269-ATYWD,Si,Masculino,True,False,False,39,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Transferencia bancaria (automático),95.65,3759.05,3.1883333333333335,5
3272-VUHPV,No,Femenino,False,True,True,8,True,False,DSL,False,True,False,True,False,False,Mes a mes,False,Transferencia bancaria (automático),56.3,401.5,1.8766666666666665,4
3274-NSDWE,No,Femenino,False,False,False,68,True,False,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito (automático),19.6,1441.65,0.6533333333333334,1
3275-RHRNE,No,Masculino,False,True,True,28,False,False,DSL,False,True,True,True,True,True,Un año,True,Tarjeta de crédito (automático),60.0,1682.05,2.0,6
3276-HDUEG,Si,Femenino,False,False,False,1,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,75.05,75.05,2.5016666666666665,3
3278-FSIXX,No,Femenino,False,False,False,2,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,45.25,74.2,1.5083333333333333,2
3279-DYZQM,No,Masculino,False,True,True,71,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,19.45,1378.45,0.6483333333333333,1
3280-MRDOF,No,Masculino,True,False,False,30,True,True,DSL,False,False,True,True,True,False,Dos años,True,Tarjeta de crédito (automático),69.1,2093.9,2.3033333333333332,6
3280-NMUVX,No,Masculino,False,True,True,34,True,False,No,False,False,False,False,False,False,Un año,False,Tarjeta de crédito (automático),19.6,678.8,0.6533333333333334,1
3282-ZISZV,No,Masculino,False,False,True,32,True,True,DSL,False,True,True,True,True,True,Un año,False,Tarjeta de crédito (automático),83.7,2633.3,2.79,8
3283-WCWXT,No,Masculino,False,True,True,6,True,True,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,25.4,153.3,0.8466666666666666,2
3284-SVCRO,No,Femenino,False,True,False,45,True,True,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,25.5,1121.05,0.85,2
3285-UCQVC,Si,Femenino,False,False,False,37,False,False,DSL,False,False,False,True,False,False,Mes a mes,False,Tarjeta de crédito (automático),28.6,973.55,0.9533333333333334,2
3292-PBZEJ,No,Masculino,True,False,False,11,True,True,Fibra óptica,False,True,True,True,True,True,Mes a mes,True,Cheque electrónico,111.4,1183.05,3.7133333333333334,8
3295-YVUSR,No,Masculino,True,False,False,2,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,72.6,154.3,2.42,3
3296-SILRA,Si,Femenino,True,True,False,1,True,False,Fibra óptica,False,True,False,False,False,False,Mes a mes,True,Cheque por correo,76.4,76.4,2.546666666666667,3
3298-QEICA,No,Femenino,False,True,True,23,False,False,DSL,True,False,False,True,False,False,Dos años,False,Cheque por correo,34.6,813.45,1.1533333333333333,3
3301-LSLWQ,No,Femenino,False,False,False,29,True,True,DSL,True,False,False,False,False,True,Mes a mes,True,Cheque electrónico,66.1,1912.15,2.203333333333333,5
3301-VKTGC,No,Masculino,False,True,True,68,True,True,Fibra óptica,True,True,False,False,False,False,Un año,True,Transferencia bancaria (automático),85.5,5696.6,2.85,5
3307-TLCUD,No,Masculino,False,True,False,17,False,False,DSL,True,False,True,False,False,False,Mes a mes,False,Cheque por correo,34.4,592.75,1.1466666666666667,3
3308-DGHKL,No,Masculino,False,False,False,69,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia bancaria (automático),19.3,1447.9,0.6433333333333333,1
3308-JSGML,No,Masculino,True,True,False,59,False,False,DSL,True,False,True,True,True,True,Dos años,True,Tarjeta de crédito (automático),64.05,3886.85,2.135,6
3308-MHOOC,No,Masculino,False,False,True,1,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,19.2,19.2,0.64,1
3312-UUMZW,No,Masculino,False,True,False,32,True,True,Fibra óptica,False,True,False,False,True,True,Mes a mes,True,Tarjeta de crédito (automático),98.85,3145.9,3.295,6
3312-ZWLGF,No,Masculino,True,True,False,29,True,True,Fibra óptica,False,False,False,True,False,False,Mes a mes,True,Cheque electrónico,79.3,2414.55,2.643333333333333,4
3313-QKNKB,Si,Masculino,False,True,False,59,True,True,Fibra óptica,False,False,False,False,False,True,Un año,False,Cheque electrónico,85.55,5084.65,2.8516666666666666,4
3315-IKYZQ,No,Masculino,False,True,True,28,False,False,DSL,True,False,True,True,True,False,Un año,False,Cheque por correo,50.8,1386.8,1.6933333333333331,5
3315-TOTBP,Si,Masculino,False,False,False,15,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Cheque por correo,76.0,1130.85,2.533333333333333,3
3316-UWXUY,No,Masculino,False,False,False,50,True,False,Fibra óptica,True,True,False,True,False,True,Mes a mes,True,Tarjeta de crédito (automático),93.5,4747.5,3.1166666666666667,6
3317-HRTNN,Si,Femenino,True,False,False,5,False,False,DSL,False,False,False,False,True,True,Mes a mes,False,Cheque electrónico,45.7,198.0,1.5233333333333334,3
3317-VLGQT,No,Femenino,False,True,False,14,True,False,Fibra óptica,False,False,False,False,False,True,Mes a mes,True,Cheque electrónico,78.1,1122.4,2.603333333333333,3
3318-ISQFQ,No,Femenino,False,False,False,20,True,False,No,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),19.5,413.0,0.65,1
3318-NMQXL,No,Masculino,False,False,False,3,True,False,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,92.0,266.8,3.066666666666667,4
3318-OSATS,Si,Masculino,True,False,False,35,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,95.45,3474.05,3.1816666666666666,5
3319-DWOEP,Si,Masculino,True,True,False,6,True,False,Fibra óptica,False,False,True,False,True,True,Mes a mes,True,Cheque electrónico,95.75,573.75,3.191666666666667,5
3320-VEOYC,No,Masculino,True,False,False,14,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Cheque electrónico,95.6,1273.3,3.1866666666666665,5
3323-CPBWR,No,Masculino,False,False,False,23,True,True,Fibra óptica,False,False,True,True,True,False,Mes a mes,True,Tarjeta de crédito (automático),96.9,2085.45,3.23,6
3324-OIRTO,No,Masculino,False,True,True,71,True,False,Fibra óptica,True,True,True,False,True,True,Un año,True,Transferencia bancaria (automático),104.65,7288.4,3.4883333333333337,7
3325-FUYCG,Si,Masculino,False,True,True,28,True,True,Fibra óptica,True,True,False,False,True,True,Un año,False,Cheque electrónico,106.1,2847.4,3.5366666666666666,7
3327-YBAKM,No,Femenino,False,True,False,64,True,False,Fibra óptica,True,False,False,True,True,True,Un año,True,Cheque por correo,96.9,6314.35,3.23,6
3329-WDIOK,Si,Femenino,False,False,False,3,False,False,DSL,False,True,False,False,True,True,Mes a mes,True,Cheque electrónico,50.6,155.35,1.6866666666666668,4
3331-HQDTW,Si,Femenino,False,False,False,34,True,True,Fibra óptica,True,True,True,False,True,True,Mes a mes,True,Cheque por correo,109.8,3587.25,3.6599999999999997,8
3334-CTHOL,Si,Femenino,False,False,False,1,True,True,DSL,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),49.95,49.95,1.665,3
3336-JORSO,Si,Femenino,True,False,False,33,True,True,Fibra óptica,False,True,True,True,True,True,Mes a mes,True,Cheque electrónico,110.45,3655.45,3.6816666666666666,8
3338-CVVEH,No,Masculino,False,False,False,12,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,False,Cheque electrónico,94.55,1173.55,3.1516666666666664,5
3339-EAQNV,No,Masculino,True,True,False,72,True,True,Fibra óptica,False,True,False,False,True,True,Un año,True,Tarjeta de crédito (automático),97.25,7133.1,3.2416666666666667,6
3340-QBBFM,No,Masculino,True,True,False,36,True,False,DSL,False,False,True,True,False,False,Un año,False,Tarjeta de crédito (automático),54.1,1992.85,1.8033333333333335,4
3345-JHUEO,No,Masculino,False,False,False,4,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque electrónico,20.2,55.7,0.6733333333333333,1
3345-PBBFH,No,Masculino,False,True,False,8,True,False,DSL,False,True,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),49.55,393.45,1.6516666666666666,3
3346-BRMIS,Si,Femenino,True,True,False,18,False,False,DSL,False,False,True,False,True,True,Mes a mes,True,Cheque electrónico,48.35,810.7,1.6116666666666668,4
3347-YJZZE,No,Masculino,False,True,True,29,True,True,DSL,False,True,True,False,True,True,Mes a mes,False,Tarjeta de crédito (automático),80.1,2211.8,2.67,7
3348-CFRNX,Si,Femenino,False,True,False,28,True,False,Fibra óptica,True,False,False,False,True,True,Mes a mes,True,Cheque por correo,92.35,2602.9,3.078333333333333,5
3349-ANQNH,No,Femenino,True,False,False,59,True,True,Fibra óptica,False,False,True,False,True,True,Un año,True,Cheque electrónico,99.5,5890.0,3.316666666666667,6
3351-NGXYI,No,Femenino,True,False,False,16,True,True,DSL,True,False,False,False,False,False,Mes a mes,True,Cheque electrónico,54.1,889.0,1.8033333333333335,4
3351-NQLDI,Si,Femenino,False,True,True,67,True,True,Fibra óptica,True,False,False,True,False,True,Un año,True,Tarjeta de crédito (automático),94.35,6341.45,3.145,6
3352-ALMCK,No,Masculino,False,False,False,40,True,True,Fibra óptica,False,True,True,False,True,True,Mes a mes,True,Cheque por correo,102.65,4108.15,3.421666666666667,7
3352-RICWQ,No,Femenino,False,True,True,9,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,19.75,210.65,0.6583333333333333,1
3354-OADJP,No,Femenino,False,False,False,8,True,False,DSL,True,False,False,True,False,False,Un año,False,Transferencia bancaria (automático),54.25,447.75,1.8083333333333333,4
3359-DSRKA,No,Femenino,False,True,True,58,True,False,No,False,False,False,False,False,False,Dos años,True,Cheque por correo,19.85,1158.85,0.6616666666666667,1
3363-DTIVD,No,Masculino,False,True,True,71,True,True,Fibra óptica,True,False,True,False,True,True,Dos años,False,Cheque electrónico,105.55,7405.5,3.518333333333333,7
3363-EWLGO,No,Femenino,False,False,False,5,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.95,109.6,0.6649999999999999,1
3365-SAIGS,No,Femenino,False,False,False,17,True,False,Fibra óptica,False,True,False,False,True,False,Mes a mes,True,Cheque electrónico,83.55,1329.15,2.7849999999999997,4
3370-GQEAL,No,Masculino,False,True,True,30,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,False,Cheque electrónico,85.45,2509.95,2.8483333333333336,4
3370-HXOPH,No,Femenino,False,False,False,3,True,True,Fibra óptica,False,False,False,False,False,False,Mes a mes,False,Cheque electrónico,76.1,257.6,2.5366666666666666,3
3372-CDXFJ,No,Masculino,False,True,True,13,True,True,No,False,False,False,False,False,False,Un año,False,Transferencia bancaria (automático),24.5,343.6,0.8166666666666667,2
3372-KWFBM,Si,Masculino,True,False,False,16,True,True,Fibra óptica,False,False,False,False,True,False,Mes a mes,True,Cheque electrónico,86.6,1281.0,2.8866666666666663,4
3373-DIUUN,No,Masculino,False,True,True,30,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,21.25,711.9,0.7083333333333334,1
3373-YZZYM,No,Masculino,False,True,True,1,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.2,19.2,0.64,1
3374-LXDEV,Si,Femenino,False,False,False,13,True,True,Fibra óptica,False,True,True,True,False,False,Mes a mes,False,Cheque electrónico,89.4,1132.35,2.98,6
3374-PZLXD,No,Masculino,False,False,False,34,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,19.7,675.6,0.6566666666666666,1
3374-TTZTK,No,Masculino,False,True,False,52,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,106.3,5487.0,3.5433333333333334,8
3376-BMGFE,Si,Femenino,False,False,False,4,True,False,Fibra óptica,False,False,False,False,False,False,Mes a mes,True,Transferencia bancaria (automático),70.9,273.0,2.3633333333333337,2
3378-AJRAO,No,Masculino,False,True,True,44,True,True,No,False,False,False,False,False,False,Un año,False,Cheque electrónico,24.85,1013.6,0.8283333333333334,2
3384-CTMSF,No,Masculino,False,True,False,47,True,True,Fibra óptica,False,True,True,False,True,True,Mes a mes,True,Cheque electrónico,104.1,5135.15,3.4699999999999998,7
3387-PLKUI,No,Femenino,False,True,True,13,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque por correo,18.8,251.25,0.6266666666666667,1
3387-VATUS,Si,Masculino,False,False,False,5,True,True,Fibra óptica,False,False,False,False,True,True,Mes a mes,True,Transferencia bancaria (automático),94.85,462.8,3.1616666666666666,5
3389-KTRXV,No,Femenino,False,True,True,23,True,True,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,23.85,625.65,0.795,2
3389-YGYAI,Si,Femenino,True,False,False,8,True,True,Fibra óptica,False,True,True,False,True,True,Mes a mes,True,Cheque electrónico,105.5,829.55,3.5166666666666666,7
3391-JSQEW,No,Masculino,False,True,False,40,True,False,DSL,False,True,False,False,False,False,Mes a mes,True,Cheque por correo,50.15,2058.5,1.6716666666666666,3
3392-EHMNK,No,Femenino,False,True,True,67,True,True,Fibra óptica,False,True,False,True,True,False,Dos años,False,Tarjeta de crédito (automático),94.1,6302.8,3.1366666666666663,6
3393-FMZPV,Si,Femenino,False,False,False,25,True,True,Fibra óptica,False,True,False,False,True,True,Mes a mes,True,Cheque electrónico,100.25,2387.75,3.341666666666667,6
3396-DKDEL,No,Femenino,False,True,True,70,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Tarjeta de crédito (automático),115.15,8250.0,3.8383333333333334,9
3397-AVTKU,No,Masculino,False,False,False,43,True,False,DSL,False,True,False,False,False,True,Dos años,True,Cheque electrónico,60.0,2548.55,2.0,4
3398-FSHON,Si,Femenino,True,False,False,12,True,True,Fibra óptica,False,True,False,False,True,False,Mes a mes,True,Cheque electrónico,91.3,1094.5,3.0433333333333334,5
3398-GCPMU,No,Femenino,True,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,True,Tarjeta de crédito (automático),89.55,6448.85,2.985,9
